color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,plot_keyword_1,plot_keyword_2,genre_1,genre_2,IMDB_Category
Color,James Cameron,723,178,0,33000,Joel David Moore,1000,760505847,CCH Pounder,Avatar ,886204,4834,Wes Studi,0.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054,English,United State of America,PG-13,237000000,2009,936,7.9,1.78,33000,avatar,future,Action,Adventure,Class_1
Color,Gore Verbinski,302,169,563,0,Orlando Bloom,40000,309404152,Johnny Depp,Pirates of the Caribbean: At World's End ,471220,48350,Jack Davenport,0.0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238,English,United State of America,PG-13,300000000,2007,5000,7.1,2.35,0,goddess,marriage ceremony,Action,Adventure,Class_2
Color,Sam Mendes,602,148,0,85000,Rory Kinnear,11000,200074175,Christoph Waltz,Spectre ,275868,11700,Stephanie Sigman,1.0,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994,English,United Kingdom,PG-13,245000000,2015,393,6.8,2.35,85000,bomb,espionage,Action,Adventure,Class_2
Color,Christopher Nolan,813,164,22000,164000,Christian Bale,27000,448130642,Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0.0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,United State of America,PG-13,250000000,2012,23000,8.5,2.35,164000,deception,imprisonment,Action,Thriller,Class_1
Color,Andrew Stanton,462,132,475,24000,Samantha Morton,640,73058679,Daryl Sabara,John Carter ,212204,1873,Polly Walker,1.0,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,United State of America,PG-13,263700000,2012,632,6.6,2.35,24000,alien,american civil war,Action,Adventure,Class_2
Color,Sam Raimi,392,156,0,0,James Franco,24000,336530303,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0.0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,English,United State of America,PG-13,258000000,2007,11000,6.2,2.35,0,sandman,spider man,Action,Adventure,Class_2
Color,Nathan Greno,324,100,15,29000,Donna Murphy,799,200807262,Brad Garrett,Tangled ,294810,2036,M.C. Gainey,1.0,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387,English,United State of America,PG,260000000,2010,553,7.8,1.85,29000,17th century,based on fairy tale,Adventure,Animation,Class_1
Color,Joss Whedon,635,141,0,118000,Robert Downey Jr.,26000,458991599,Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett Johansson,4.0,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English,United State of America,PG-13,250000000,2015,21000,7.5,2.35,118000,artificial intelligence,based on comic book,Action,Adventure,Class_2
Color,David Yates,375,153,282,10000,Daniel Radcliffe,25000,301956980,Alan Rickman,Harry Potter and the Half-Blood Prince ,321795,58753,Rupert Grint,3.0,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973,English,United Kingdom,PG,250000000,2009,11000,7.5,2.35,10000,blood,book,Adventure,Family,Class_2
Color,Zack Snyder,673,183,0,197000,Lauren Cohan,15000,330249062,Henry Cavill,Batman v Superman: Dawn of Justice ,371639,24450,Alan D. Purwin,0.0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,United State of America,PG-13,250000000,2016,4000,6.9,2.35,197000,based on comic book,batman,Action,Adventure,Class_2
